<TexName>,<FileName>,<ColorKey>,<ThisFileName>,<UseHitEffectChannel>,,,,,,,,,,,
AstroSlug,Player/AstroSlug.bmp,0/248/0,Player/AstroSlug.csv,2,,,,,,,,,,,
<AnimSeqName>,<float PlayTime>,<int LoopFlag>,<bool Reverse>,<float PlayScale>,<int Layer>,<float OffsetX>,<float OffsetY>,<float PivotX>,<float PivotY>,"<FramePos(Start, End)>",<…>,,,,
LeftPart_Pistol,0.3,1,,,1,,10,1,,3/13/35/87,37/13/69/87,71/13/103/87,105/13/137/87,,
RightPart_Pistol,0.3,1,,,2,,10,0,,3/240/35/314,37/240/69/314,71/240/103/314,105/240/137/314,,
LeftPart_Rifle,0.3,1,,,1,,9,1,,3/89/51/162,53/89/101/162,103/89/151/162,153/89/201/162,,
RightPart_Rifle,0.3,1,,,2,,10,0,,3/316/45/390,53/316/95/390,103/316/145/390,153/316/195/390,,
LeftPart_Rifle_Get,0.3,,,,1,,10,1,,3/164/35/238,37/164/85/238,87/164/135/238,137/164/185/238,187/164/235/238,237/164/285/238
RightPart_Rifle_Get,0.3,,,,2,,10,0,,3/392/45/466,70/392/112/466,128/392/170/465/0/-1,184/392/228/466,236/392/280/466,289/392/331/466
PlayerLeft,0.4,2,,,4,-9,-45,0,0,300/149/317/166/1/0,319/149/336/166,338/149/355/166,357/149/374/166/1/0,,
PlayerRight,0.4,2,,,4,-9,-45,0,0,300/111/317/128,319/111/336/128,338/111/355/128,357/111/374/128/1/0,,
PlayerTurnLeftToRight,0.2,,,,4,-9,-45,0,0,300/130/317/147/1/0,319/130/336/147/1/0,,,,
EjectMode,1,,,,1,,,,,15/468/67/532,,,,,
EjectModeDoor,0.2,,,,3,,-7,,,73/484/101/524,107/484/135/524,141/484/169/524,141/484/169/524,141/484/169/524,
