<TexName>,<FileName>,<ColorKey>,<ThisFileName>,<EReactionChannel>,<<-- 1 = HitEffect,", 2 = InvincibleEffect",,,,,,,,,
SpaceObjects,SFX/SpaceObjects.bmp,0/248/0,SFX/IntroRocket.csv,2,,,,,,,,,,,
<AnimSeqName>,<float PlayTime>,<int LoopFlag>,<bool Reverse>,<float PlayScale>,<int Layer>,<float OffsetX>,<float OffsetY>,<float PivotX>,<float PivotY>,"<FramePos(Start, End)>",<…>,,,,
HeadLeftSideWhole,10,,,,3,,,1,,306/965/396/1121,,,,,
HeadLeftSideUpper,10,,,,3,23,-1,1,,397/965/478/1122/-9/1,,,,,
HeadLeftSideLower,10,,,,0,23,-1,1,,482/983/547/1122/0/-8,,,,,
HeadRightSideWhole,10,,,,4,-29,4,0,,550/968/646/1122,,,,,
HeadInner,10,,,,2,,-108,,0,647/881/799/1122,,,,,
BodyMiddle,10,,,,2,,-7,,0,799/843/951/1122,,,,,
BodyLowest,10,,,,2,,,,0,952/867/1084/1121,,,,,
BodyUpperRingWhole,10,,,,2,,,,0,1084/945/1216/990,,,,,
BodyUpperRingInner,10,,,,0,,,,0,1084/990/1216/1016,,,,,
ThrustNormal,10,,,,1,,,,1,1086/1094/1216/1121,,,,,
ThrustOn,0.2,1,1,,1,,,,1,0/116/178/286,178/117/352/286,367/117/545/286,552/117/726/286,,
MiddleSeparateSFX,0.3,,,,5,,,0,0,427/540/552/559,553/540/683/568,684/540/808/566,809/540/929/561,930/540/1046/553,1047/540/1153/545
CapSeparateSFX,0.3,,,,5,,,0,0,425/640/551/730,552/640/682/743,683/640/811/747,812/640/940/752,941/640/1067/757,1068/640/1193/763
